nflverse_game_id,week,posteam,defteam,p_245,p_344,p_434,p_335,p_524,p_236,p_146,p_254,p_155,p_425,p_416,p_137,p_326,p_443,p_452,p_641,p_632,p_533,p_424,p_334,p_325,p_235,p_056,p_047,p_551,p_623,p_515,p_227,p_145,p_614,p_353,p_317,p_542,p_164,p_461,p_046,p_038,p_044,p_415,p_065,p_218,p_316,p_154,p_244,p_343,p_506,p_042,p_136,p_037,p_433,p_731,p_034,p_514,p_532,p_043,p_560,p_130,p_123,p_233,p_045
2025_01_ARI_NO,1,ARI,NO,4.4992706857738085,1.7325416080420837,-1.8913258319953457,-5.185487918404106,0.8706224636407569,2.247559305280447,0,0,0,1.8038214568514377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_ARI_NO,1,NO,ARI,-0.3755070921324659,-3.6041606056678575,0,-1.1287844841135666,0,-1.1999307568992927,0,0,3.744714795378968,0,0,0,0,0,0,0,0,0,0,0,0,1.3710729678859934,-2.9786054981523193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_PIT_NYJ,1,NYJ,PIT,6.431943230589663,5.947660253892653,0,0.5912472026394681,0,0,0,0,0,0,0,0,0,0.595556536805816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_PIT_NYJ,1,PIT,NYJ,0,0,0.795479021006031,0,0,0,0,0,0,10.221279536195754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_NYG_WAS,1,WAS,NYG,4.178829951328225,0.8514983109780587,0.9277759725227952,6.880031867825892,0,-6.851757459982764,2.2029948520066682,0,0,0,0,0,2.216585086862324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_NYG_WAS,1,NYG,WAS,0,0,0,-4.363946099008899,-5.472304081001319,-3.269620792143241,0,0,0,5.079957630805438,0,0,0,0,0,0,-1.377263731585117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TEN_DEN,1,TEN,DEN,-7.673856855079066,-12.973789476642652,0,-2.374574937065013,0,-1.45873081773522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TEN_DEN,1,DEN,TEN,1.9276911476626992,0,-2.6407645131112076,-2.6032207978423685,-5.99874458782142,0,0,0,0,-6.376327384670731,0,0,4.858852913768574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_SF_SEA,1,SEA,SF,0,0,-2.4883962924941443,0,0,0,0,0,0,-7.89071617976577,0,0,0.7487687214265977,0,0,0,0,0.543488016090123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_SF_SEA,1,SF,SEA,4.301899657985759,0,-4.9445134189445525,4.223065204511333,0,1.8001800202773666,0,0,0,0,0,0,3.8915725991828367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_DET_GB,1,GB,DET,0.3055126399267465,-1.088634854881093,1.8929293606268365,2.6329218947418283,0,0,0,0,0,6.904966572765261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_DET_GB,1,DET,GB,-3.762945452818439,0.9202186083421111,0,0.7572735308203846,0,0,0,2.73001462360844,-4.789239375155535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_HOU_LA,1,HOU,LA,2.011266019777395,1.3872724517714232,-0.7973979666130617,-7.753352502768394,0,0,0,0,0,0,0,0,-3.9643187661013695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_HOU_LA,1,LA,HOU,0,0,0.9992961229290813,0,0,0,0,0,0,-5.15759156603599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_BAL_BUF,1,BUF,BAL,-2.973992229084164,5.617935950518586,0,-0.5996549194678664,0,15.792605055961758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8717722288448355,1.0540653692441992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_BAL_BUF,1,BAL,BUF,6.408236289513297,1.4709345055161975,0,4.967034022207372,0,0.39211110597181076,0,1.1285711623495445,0,0,0,0,5.749310918595305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIN_CHI,1,MIN,CHI,0,0,2.736224876018241,0,1.0632557385251857,0,0,0,0,-0.23753212593220896,0,0,-9.228883221283004,0,0,0,0,-0.7351802595076151,0,0,0,0,0,0,0,-0.947,2.723166892887093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIN_CHI,1,CHI,MIN,-1.9857662104186602,-4.966544836192043,-1.3963677455321886,-7.074623665057769,0,9.510243790264141,0,2.3543258095160127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01821305076009594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_WAS_GB,2,GB,WAS,0,0,4.617700627422892,-1.9158029617913255,3.590096859319601,2.4088167077861726,-2.9623159333132207,0,0,1.7145443328190595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_WAS_GB,2,WAS,GB,-9.80265218787052,0,0,4.541003881822806,0,0,0,1.0079178139567375,-2.6976807166694945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
