nflverse_game_id,week,posteam,defteam,p_113,p_122,p_221,p_131,p_212,p_014,p_103,p_112,p_111,p_104,p_121,p_230,p_211,p_120,p_023,p_130,p_140,p_123,p_114,p_203,p_220,p_234,p_032,p_102,p_202,p_132,p_041,p_311,p_005,p_141,p_031,p_020,p_320,p_010,p_110,p_022,p_213,p_001,p_101,p_301,p_040
2025_01_NYG_WAS,1,WAS,NYG,3.6694273695757147,6.123400350130396,0,0,1.1923294079024345,-0.981141795986332,0,0,0,0,0,0,0,0,0.6148809462902136,0,0,0,0,-0.2129376963712275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_NYG_WAS,1,NYG,WAS,0,0,0,-1.377263731585117,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4120067955618718,-7.613906545786149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TEN_DEN,1,TEN,DEN,-10.428728030804916,-12.495749535155483,0,0,0,0,0,0,0,0,0,0,0,-1.5564745205615522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_TEN_DEN,1,DEN,TEN,-2.321703647146933,-5.92146693921873,-0.7449439176707529,0,1.4957144174259156,0,0,-1.3002449200721458,0,0,-3.6350033601629548,0,1.9447291232063435,0,1.2770125188399106,0,0,0,0,-1.626606497215107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_SF_SEA,1,SEA,SF,-3.896272566243323,-3.5711544851073995,1.3128256232012063,0.09537548996740952,-3.019619621685706,0,0,0,0,0,0,0,-0.5514981909655035,0,0,0,0,0,0,0,0.543488016090123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_SF_SEA,1,SF,SEA,15.445518077578875,1.1090829027816653,-3.942906891577877,0,-3.339490025769919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_DET_GB,1,GB,DET,8.542953845599785,1.1076356890333008,0,-0.5660805983352475,1.5631866768817417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_DET_GB,1,DET,GB,-5.256938301025798,1.816938020172529,0,1.8787816113326699,-2.583459395682439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_HOU_LA,1,HOU,LA,-8.20818408801557,0.1947567390743643,1.711358513799496,0,-2.814461928792298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_HOU_LA,1,LA,HOU,-2.510344655136578,-1.6479507879703306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_BAL_BUF,1,BUF,BAL,11.852515244629554,-0.1467351836618036,2.320561854459811,3.4655897218035534,0.19447718712035567,0,0,0.579331237997394,0,0,0,1.0540653692441992,-0.42884620442055166,0,1.8717722288448355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_BAL_BUF,1,BAL,BUF,6.854307550867058,13.704940661671571,0,2.3168576516909525,2.5222640500287525,0,0,0,0,0,-5.2821719101048075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIN_CHI,1,MIN,CHI,-8.19048285115087,1.3579820053419098,0,2.9615488410927355,0.19200390542391688,0,0,0,0,0,0,0,0,0,0,-0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_01_MIN_CHI,1,CHI,MIN,-0.35153289442164914,-1.2913207207020605,0,-1.7949106534942985,0,1.8172652575885877,0,-0.24387227976694703,0,0,-1.0625393021618947,0,0,0,-0.6998965750972275,0,0,0,0,0,0,0.049861259874887764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_WAS_GB,2,GB,WAS,0.12497903267534438,2.4236983693554066,0,2.2654036873718724,2.6389585428405553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_WAS_GB,2,WAS,GB,-10.74752848605254,0.9816555230645463,0,0,0,3.1079317005933262,0,0,0,-0.2934699463658035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CLE_BAL,2,CLE,BAL,-6.412861297244835,-12.566721292037982,0,0,0,0,0,0,0.7308576975483447,0,0,0,0,0,-1.4993420464452356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CLE_BAL,2,BAL,CLE,4.625282128991586,-3.1586624766438716,0,3.9694099183543585,0,0,0,0,0,0,0,0,0,0,0,-0.21710452280240133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_JAX_CIN,2,JAX,CIN,8.479129674603012,5.941775494837202,0,0,0.2849300304078497,0,0,-8.20427650359639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_JAX_CIN,2,CIN,JAX,0.4410089275375557,1.132998828717973,0,-0.3501798384822905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_NYG_DAL,2,NYG,DAL,11.270980274830567,4.046000638161786,-0.8654121032450348,0.5640350081957877,0,0,0,0,0,0,0,0,0,0,0.02934328420087695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_NYG_DAL,2,DAL,NYG,10.957964838761892,0.8110592454031575,0.8833451976533979,0,-0.7170447886455804,3.2599219361436553,-0.46634071762673557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CHI_DET,2,DET,CHI,17.03278568011698,6.717648118472425,0,0,0,0,0,0,0,0,-0.0014983848668634892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_CHI_DET,2,CHI,DET,-11.091889775532763,-0.2758527011901606,0,-1.6942692887969315,0,1.3363309061096516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_NE_MIA,2,NE,MIA,12.408188869742533,5.684106913628057,-1.027847649762407,1.0602526956936345,-1.6706690734717995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025_02_NE_MIA,2,MIA,NE,7.068376158299012,-0.24429111403878778,0,0,-0.1771361951250583,0,0,0,0,-1.0706495784106664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
